#,Make,Model,"Date -
Start","Date -
End",Kilometer,"Battery
Level"
1,Audi,E-Tron,2019,-,+,+
2,Audi,E-Tron Gt,2020,-,+,+
3,Audi,Q4 E-Tron,2019,-,+,+
4,Audi,Q4 Test,2020,-,+,+
5,Audi,Q8 E-Tron,2019,-,+,+
6,Baic,"Ec5, X25, Ex360",2015,-,,+
7,Baic,EX360,2015,-,,+
8,Baic,X25,2015,-,,+
9,Bmw,I3,2013,-,+,+
10,Bmw,I7,2022,-,+,+
11,Bmw,I8,2014,2020,+,
12,Bmw,IX,2021,-,+,+
13,Bmw,IX3,2020,-,+,+
14,Byd,Atto 3,2022,-,+,+
15,Byd,E6 II,2021,-,+,+
16,Byd,Han,2020,-,+,+
17,Byd,Hce,2020,-,+,+
18,Byd,Tan Ev,2018,-,+,+
19,Byd,Tang,2018,-,+,+
20,Chevrolet,Bolt Ev,2016,-,+,+
21,Citroën,C-Zero,2010,-,+,+
22,Citroën,Ds 3 Crossback E-Tense,2018,-,+,+
23,Citroën,E-Berlingo,2021,-,+,+
24,Citroën,Ë-C4,2020,-,+,+
25,Citroën,E-Jumpy,2019,-,+,+
26,Citroën,E-Spacetourer,2019,-,+,+
27,Cupra,Born,2021,-,+,+
28,Dacia,Spring,2021,2025,+,+
29,Fiat,500E,2013,2020,+,+
30,Fiat,500E,2020,-,+,+
31,Fiat,E-Ducato,2020,-,+,+
32,Ford,E-Transit,2022,-,+,+
33,Ford,Explorer,2023,-,+,+
34,Ford,F-150 Lightning,2022,-,+,+
35,Ford,Mustang Mach-E,2019,-,+,+
36,Genesis,Gv60,2021,-,+,+
37,Green Tour,Ev4,2015,-,,+
38,Honda,E,2020,-,+,+
39,Hyundai,Ioniq,2017,-,+,+
40,Hyundai,Ioniq 5,2021,-,+,+
41,Hyundai,Ioniq 6,2022,-,+,+
42,Hyundai,Kona,2017,-,+,
43,Hyundai,Kona Ev,2018,-,+,+
44,Jaguar,I-Pace,2018,-,+,+
45,Kia,E-Niro,2017,2022,+,+
46,Kia,E-Soul,2014,2019,+,+
47,Kia,Ev6,2021,-,+,+
48,Kia,Niro Ev,2022,-,+,+
49,Kia,Soul,2020,-,+,+
50,Lexus,UX,2018,-,+,+
51,Lynk&Co,1,2017,-,+,+
52,Man,Etge,2017,-,+,+
53,Maxus,D60,2019,-,+,+
54,Maxus,Edeliver 3 (Ev30),2018,-,+,+
55,Maxus,Euniq 6,2019,-,+,+
56,Maxus,T90,2021,-,+,+
57,Mercedes-Benz,EQV,2017,-,+,+
58,Mercedes-Benz,Esprinter,2020,-,+,+
59,Mercedes-Benz,E-Vito,2014,2023,+,+
60,Mercedes-Benz,GLE,2011,2019,+,+
61,MG,Marvel R,2018,-,+,+
62,MG,Marvel X,2018,-,+,+
63,MG,MG5 EV,2019,-,+,+
64,Mini,Cooper S Electric,2019,-,+,+
65,Mitsubishi,I-Miev,2010,-,+,+
66,Nissan,Ariya,2022,-,+,+
67,Nissan,E-Nv200,2012,-,+,+
68,Nissan,Leaf,2018,-,+,+
69,Nissan,Sakura,2022,-,+,+
70,Opel,Ampera-E,2016,-,+,+
71,Opel,Combo-E,2021,-,+,+
